SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
ANTHEM,ANTHEM,608.9,161154,2026-01-25,10:17:31
AJANTPHARM,AJANTPHARM,2699.6,73196,2026-01-25,10:17:31
POONAWALLA,POONAWALLA,414.4,2494967,2026-01-25,10:17:31
TATAELXSI,TATAELXSI,5409.5,194177,2026-01-25,10:17:31
ENDURANCE,ENDURANCE,2357.0,74400,2026-01-25,10:17:31
CENTRALBK,CENTRALBK,36.31,5119690,2026-01-25,10:17:31
CRISIL,CRISIL,4491.4,18690,2026-01-25,10:17:31
GODREJIND,GODREJIND,974.7,38475,2026-01-25,10:17:31
JUBLFOOD,JUBLFOOD,492.6,1831633,2026-01-25,10:17:31
APOLLOTYRE,APOLLOTYRE,499.2,598625,2026-01-25,10:17:31
ACC,ACC,1669.1,291265,2026-01-25,10:17:31
GODFRYPHLP,GODFRYPHLP,1997.3,244269,2026-01-25,10:17:31
PREMIERENE,PREMIERENE,683.1,5967336,2026-01-25,10:17:31
GODIGIT,GODIGIT,331.6,1197293,2026-01-25,10:17:31
TATAINVEST,TATAINVEST,603.8,297972,2026-01-25,10:17:31
KPITTECH,KPITTECH,1114.5,749846,2026-01-25,10:17:31
CHOLAHLDNG,CHOLAHLDNG,1622.5,656894,2026-01-25,10:17:31
NAVINFLUOR,NAVINFLUOR,5919.0,112538,2026-01-25,10:17:31
KPRMILL,KPRMILL,848.9,469272,2026-01-25,10:17:31
DELHIVERY,DELHIVERY,387.1,2222806,2026-01-25,10:17:31
JBCHEPHARM,JBCHEPHARM,1846.0,132508,2026-01-25,10:17:31
EMCURE,EMCURE,1530.8,138094,2026-01-25,10:17:31
ASTERDM,ASTERDM,555.25,328424,2026-01-25,10:17:31
MSUMI,MSUMI,42.98,5216009,2026-01-25,10:17:31
SONACOMS,SONACOMS,456.1,2686728,2026-01-25,10:17:31
APARINDS,APARINDS,7033.0,46427,2026-01-25,10:17:31
GUJGASLTD,GUJGASLTD,404.95,288929,2026-01-25,10:17:31
LICHSGFIN,LICHSGFIN,506.45,990874,2026-01-25,10:17:31
METROBRAND,METROBRAND,1021.3,22953,2026-01-25,10:17:31
SJVN,SJVN,70.86,3451164,2026-01-25,10:17:31
HONAUT,HONAUT,31375.0,6196,2026-01-25,10:17:31
CDSL,CDSL,1326.3,1204091,2026-01-25,10:17:31
GLAND,GLAND,1682.5,85262,2026-01-25,10:17:31
MEDANTA,MEDANTA,1030.0,104315,2026-01-25,10:17:31
EXIDEIND,EXIDEIND,325.2,1123208,2026-01-25,10:17:31
PINELABS,PINELABS,240.15,2865486,2026-01-25,10:17:31
IKS,IKS,1651.1,90357,2026-01-25,10:17:31
TVSHLTD,TVSHLTD,13467.0,2475,2026-01-25,10:17:31
MRPL,MRPL,155.4,6952785,2026-01-25,10:17:31
AWL,AWL,209.06,997078,2026-01-25,10:17:31
ITI,ITI,279.65,302733,2026-01-25,10:17:31
TATATECH,TATATECH,657.55,1175442,2026-01-25,10:17:31
PTCIL,PTCIL,17478.0,11092,2026-01-25,10:17:31
GILLETTE,GILLETTE,7986.5,17235,2026-01-25,10:17:31
NBCC,NBCC,95.08,13406785,2026-01-25,10:17:31
ZFCVINDIA,ZFCVINDIA,13557.0,2673,2026-01-25,10:17:31
KARURVYSYA,KARURVYSYA,265.5,8556664,2026-01-25,10:17:31
GRSE,GRSE,2234.8,538599,2026-01-25,10:17:31
FORCEMOT,FORCEMOT,19325.0,81262,2026-01-25,10:17:31
STARHEALTH,STARHEALTH,425.15,561220,2026-01-25,10:17:31
MANAPPURAM,MANAPPURAM,294.75,3609963,2026-01-25,10:17:31
RAMCOCEM,RAMCOCEM,1055.0,321463,2026-01-25,10:17:31
ANANDRATHI,ANANDRATHI,2959.4,474666,2026-01-25,10:17:31
IGL,IGL,174.86,1217336,2026-01-25,10:17:31
NUVAMA,NUVAMA,1332.6,425570,2026-01-25,10:17:31
SAGILITY,SAGILITY,51.69,26027543,2026-01-25,10:17:31
BANDHANBNK,BANDHANBNK,149.33,66066666,2026-01-25,10:17:31
IRB,IRB,39.72,5529058,2026-01-25,10:17:31
ASAHIINDIA,ASAHIINDIA,942.9,52985,2026-01-25,10:17:31
ATHERENERG,ATHERENERG,621.2,957315,2026-01-25,10:17:31
NIACL,NIACL,143.42,252538,2026-01-25,10:17:31
KIMS,KIMS,582.1,150634,2026-01-25,10:17:31
LALPATHLAB,LALPATHLAB,1376.4,430231,2026-01-25,10:17:31
AEGISLOG,AEGISLOG,651.35,505613,2026-01-25,10:17:31
ANGELONE,ANGELONE,2515.1,522156,2026-01-25,10:17:31
TIMKEN,TIMKEN,3030.4,20318,2026-01-25,10:17:31
KAYNES,KAYNES,3379.2,1191544,2026-01-25,10:17:31
HSCL,HSCL,446.8,578372,2026-01-25,10:17:31
