SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
MSUMI,MSUMI,42.98,-2.162531299795135,5216009,2026-01-25 09:59
CENTRALBK,CENTRALBK,36.31,-2.3924731182795713,5119690,2026-01-25 09:59
ALLCARGO,ALLCARGO,9.17,-1.5037593984962465,5081385,2026-01-25 09:59
MMTC,MMTC,63.83,-1.694132142307113,5024975,2026-01-25 09:59
AMAGI,AMAGI,375.65,2.7489059080962672,4941533,2026-01-25 09:59
RBLBANK,RBLBANK,288.6,-2.5658338960161937,4898254,2026-01-25 09:59
BLISSGVS,BLISSGVS,162.04,4.751438360592148,4807604,2026-01-25 09:59
INDUSTOWER,INDUSTOWER,413.15,-1.4432251908396974,4665531,2026-01-25 09:59
BAJAJHFL,BAJAJHFL,88.35,-2.429596907785757,4582708,2026-01-25 09:59
IOB,IOB,34.09,-1.92750287686995,4556896,2026-01-25 09:59
TPHQ,TPHQ,0.63,-3.0769230769230793,4525014,2026-01-25 09:59
CREDITACC,CREDITACC,1392.7,-3.9384742723134165,4522919,2026-01-25 09:59
SARVESHWAR,SARVESHWAR,3.96,-0.7518796992481265,4341806,2026-01-25 09:59
BHARTIARTL,BHARTIARTL,1984.7,-0.8740385575866547,4340925,2026-01-25 09:59
INDHOTEL,INDHOTEL,645.8,-1.637346736729876,4263487,2026-01-25 09:59
LAURUSLABS,LAURUSLABS,1016.4,1.0538874527739135,4200801,2026-01-25 09:59
MEESHO,MEESHO,170.31,0.5075243434641568,4145536,2026-01-25 09:59
LEMONTREE,LEMONTREE,124.03,-4.016406129082184,4145408,2026-01-25 09:59
SYNGENE,SYNGENE,543.8,-8.234897063786715,4138289,2026-01-25 09:59
PARADEEP,PARADEEP,129.06,-3.8372699500782397,4133015,2026-01-25 09:59
DISHTV,DISHTV,3.32,-4.322766570605197,4124911,2026-01-25 09:59
NSLNISP,NSLNISP,39.59,-2.1018793273986014,4058128,2026-01-25 09:59
ATALREAL,ATALREAL,27.39,-0.47238372093022896,4028531,2026-01-25 09:59
RHETAN,RHETAN,26.37,-2.152133580705003,3948745,2026-01-25 09:59
JAYNECOIND,JAYNECOIND,71.56,-3.336485208699175,3916481,2026-01-25 09:59
PFOCUS,PFOCUS,217.52,-5.884389061959153,3905062,2026-01-25 09:59
ABCAPITAL,ABCAPITAL,347.45,-1.9887165021156592,3892734,2026-01-25 09:59
DRREDDY,DRREDDY,1235.6,1.4866529774127235,3888860,2026-01-25 09:59
BAJAJHIND,BAJAJHIND,15.67,-3.6285362853628635,3869643,2026-01-25 09:59
CGPOWER,CGPOWER,549.1,-4.379625598606875,3868313,2026-01-25 09:59
CROMPTON,CROMPTON,225.3,-1.8941868060091418,3859058,2026-01-25 09:59
PATANJALI,PATANJALI,511.5,0.09784735812133072,3825228,2026-01-25 09:59
UPL,UPL,702.55,0.2926481084939264,3808963,2026-01-25 09:59
PNBHOUSING,PNBHOUSING,812.4,-5.562336530078468,3807984,2026-01-25 09:59
ZEEMEDIA,ZEEMEDIA,7.33,-8.145363408521307,3785763,2026-01-25 09:59
SALASAR,SALASAR,7.66,-2.1711366538952737,3729683,2026-01-25 09:59
BLUESTONE,BLUESTONE,456.9,-3.810526315789479,3708844,2026-01-25 09:59
BELRISE,BELRISE,159.88,-3.1147739667919128,3693739,2026-01-25 09:59
ANTELOPUS,ANTELOPUS,505.0,14.720581553839168,3672364,2026-01-25 09:59
INDIGO,INDIGO,4704.5,-4.1658178855163985,3668328,2026-01-25 09:59
EXCEL,EXCEL,1.22,0.0,3636406,2026-01-25 09:59
MANAPPURAM,MANAPPURAM,294.75,-1.8154563624250462,3609963,2026-01-25 09:59
COFORGE,COFORGE,1636.4,-3.039639746400424,3575484,2026-01-25 09:59
VPRPL,VPRPL,45.02,-1.4232537770965592,3476665,2026-01-25 09:59
SJVN,SJVN,70.86,-2.289023717595142,3451164,2026-01-25 09:59
LLOYDSENGG,LLOYDSENGG,43.12,-6.646460272786318,3437468,2026-01-25 09:59
